പോലെ pole as
ഞാന് njaan i
അവന്റെ avante his
അവന് avan he
ആയിരുന്നു aayirunnu was
വേണ്ടി vendi for
മേല് mel on
ഉണ്ട് undu are
കൂടെ koote with
അവര് avar they
എന്നു ennu be
ഭൂതകാല bhoothakaala at
ഒന്ന് onnu one
ഞങ്ങൾക്കുണ്ട് njangalkkundu have
നിന്ന് ninnu from
കൊണ്ട് kondu by
ചൂടുള്ള chootulla hot
വാക്ക് vaakku word
പക്ഷേ pakshe but
എന്ത് enthu what
കുറെ kure some
ആകുന്നു aakunnu is
അത് ath it
നിങ്ങളെ ningale you
അഥവാ athavaa or
ഉണ്ടായിരുന്നു undaayirunnu had
നബി nabi the
ഒരു oru of
ലേക്ക് lekku to
ഒപ്പം oppam and
ഞങ്ങള് njangal we
കഴിയും kazhiyum can
പുറത്ത് puratthu out
മറ്റ് mattu other
ഏത് eth which
ചെയ്യുക cheyyuka do
അവരുടെ avarute their
കാലം kaalam time
എങ്കില് enkil if
എങ്ങനെ engane how
പറഞ്ഞു paranju said
ഓരോ oro each
പറയുന്നു parayunnu tell
ഗണം ganam set
മൂന്ന് moonnu three
ആഗ്രഹിക്കുന്നു aagrahikkunnu want
എയർ eyar air
കിണറ് kinar well
പുറമേ purame also
കളി kali play
ചെറിയ cheriya small
അവസാനിക്കുന്നു avasaanikkunnu end
ഇടുക ituka put
വീട് veet home
വായിക്കുക vaayikkuka read
തുറമുഖം thuramukham port
വലിയ valiya large
അക്ഷരപ്പിശക് aksharappishak spell
ചേർക്കുക cherkkuka add
പോലും polum even
നിലം nilam land
ഇവിടെ ivite here
ആവശമാകുന്നു aavashamaakunnu must
ഉയര്ന്ന uyarnna high
അത്തരം attharam such
പിന്തുടരുക pinthutaruka follow
പ്രവർത്തി pravartthi act
എന്തുകൊണ്ട് enthukondu why
ചോദിക്കുക chodikkuka ask
പുരുഷന്മാർ purushanmaar men
മാറ്റം maattam change
പോയി poyi went
വെളിച്ചം veliccham light
തരം tharam kind
ഓഫ് oph off
ആവശ്യം aavashyam need
ചിതം chitham picture
ശ്രമിക്കുക shramikkuka try
ഞങ്ങളെ njangale us
വീണ്ടും veendum again
ജന്തു janthu animal
ബിന്ദു bindu point
അമ്മ amma mother
ലോകം lokam world
അടുത്തു atutthu near
പണിയുക paniyuka build
സ്വയം svayam self
